
id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
1,Guessous,Amina,amina.guessous_1@email.ma,1991-10-22,f,Agadir,0693741078,2021-09-29,google_ads
2,Lyoussi,Tarik,tarik.lyoussi_2@email.ma,1996-07-18,m,TANGER,0721135441,2024-04-23,instagram
3,Idrissi,Zineb,zineb.idrissi_3gmail.com,1974-03-30,0,FES,0779612692,2024-01-18,google_ads
4,El Fassi,Tarik,tarik.elfassi_4@email.ma,1979-07-09,h,Rabat,0677537749,2022-09-14,facebook
5,Qacemi,Zakaria,zakaria.qacemi_5@email.ma,1998-11-27,H,Kenitra,0661145210,2020-11-06,facebook
6,Ziani,Mohamed,mohamed.ziani_6@email.ma,1999-11-04,M,Rabat,0717491723,2019-09-26,facebook
7,Dahbi,Sara,sara.dahbi_7@email.ma,1994-07-22,f,Casablanca,0776992568,2023-06-23,google_ads
8,Filali,Tarik,tarik.filali_8@.com,2004-11-11,1,Kenitra,0660596630,2021-03-28,email
9,Naciri,Amina,amina.naciri_9@email.ma,1961-10-21,F,TNG,0740898236,2020-09-29,google_ads
10,Drissi,Sara,sara.drissi_10@email.ma,1992-10-21,fe,Kenitra,0768804191,2023-03-20,instagram
11,Chaabi,Loubna,loubna.chaabi_11@email.ma,1974-03-06,0,Fes,0767837362,2023-12-11,referral
12,Mekki,Bilal,bilal.mekki_12@email.ma,1995-10-23,M,Kenitra,0736529070,2020-12-08,organic
13,Cherkaoui,Salma,salma.cherkaoui_13@email.ma,1960-05-17,0,oujda,0664793829,2023-10-29,email
14,Raisuni,Karim,karim.raisuni_14@email.ma,1961-02-17,M,Fes,0737554438,2020-06-24,tiktok
15,Benchekroun,Salma,salma.benchekroun_15@email.ma,2004-10-01,F,Casablanca,0759556737,2024-06-11,referral
16,Mekki,Mehdi,mehdi.mekki_16@email.ma,1950-09-30,1,casablanca,0766124893,2022-02-24,facebook
